knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
100,2000,0.1,0,3,256,3,1024,90,381.40042189900123,121.45461594299923,367.4627623919987,211.11357439100175,153.18543301700265,0.999631,1.00000983,48.78939855,0.02049626
100,2000,0.1,0,3,256,3,1024,100,381.40042189900123,121.45461594299923,429.6993430110015,222.05855745000008,199.42185692400017,0.999725,1.00000671,46.36198265,0.0215694
1,200,0.1,0,3,256,3,1024,2,,45.97772818199883,226.6465250399997,78.36127278700224,148.19973116500114,0.4268,1.08854898,136.22263748,0.00734092
1,200,0.1,0,3,256,3,1024,50,,45.97772818199883,681.316684139998,534.6986156019993,146.9953211050015,0.9999,1.00000016,18.87522351,0.05297951
1,200,0.1,0,3,256,3,1024,90,,45.97772818199883,1007.311687196001,856.7427332309999,146.78084970599957,0.9999,1.00000016,11.74309583,0.08515642
1,200,0.1,0,3,256,3,1024,100,,45.97772818199883,1112.8804084289986,962.2608975760013,151.5490060000011,0.9999,1.00000016,10.44687059,0.09572245
1,2000,0.1,0,3,256,3,1024,2,,74.89140737999696,170.4088895599998,23.137014377000014,146.82423225299863,0.1242,1.19130478,548.57740375,0.0018229
1,2000,0.1,0,3,256,3,1024,50,,74.89140737999696,296.56138071900205,146.22814828300034,148.8003464350004,0.8318,1.02016843,70.72518705,0.01413923
1,2000,0.1,0,3,256,3,1024,90,,74.89140737999696,325.2212964900027,184.5350992720014,140.11281203899853,0.9441,1.00541154,55.5588644,0.01799893
1,2000,0.1,0,3,256,3,1024,100,,74.89140737999696,338.02992215300037,194.95734355499735,138.52941322400147,0.9574,1.00396703,52.53064204,0.01903651
1,5000,0.1,0,3,256,3,1024,2,,122.36712504200113,157.8378148280026,15.550195861000248,141.63139721699918,0.0785,1.23095751,925.78208732,0.00108017
1,5000,0.1,0,3,256,3,1024,50,,122.36712504200113,255.33763228799944,105.8626041810021,148.15249222700004,0.6791,1.04486749,98.88778842,0.01011247
1,5000,0.1,0,3,256,3,1024,90,,122.36712504200113,283.1881467509993,141.09256326799732,139.60528292599702,0.8398,1.01966429,73.34685276,0.01363385
1,5000,0.1,0,3,256,3,1024,100,,122.36712504200113,291.7357948450008,147.60062550200018,143.3643014520021,0.8651,1.01570194,70.02332503,0.01428096
1,10000,0.1,0,3,256,3,1024,2,,225.0949072500007,155.89191942100297,12.701754941001127,142.7332819939984,0.0491,1.26591611,1267.20097624,0.00078914
1,10000,0.1,0,3,256,3,1024,50,,225.0949072500007,217.93509945599726,74.18379669999922,143.01888925000094,0.4947,1.07963403,144.03932115,0.00694255
1,10000,0.1,0,3,256,3,1024,90,,225.0949072500007,250.1909960869998,104.90339761699943,145.1691892939998,0.66,1.04872213,99.79470727,0.01002057
1,10000,0.1,0,3,256,3,1024,100,,225.0949072500007,254.587827749001,109.0282087150008,143.81116574199768,0.6923,1.04284362,95.8750909,0.01043024
1,2000,0.03,0,3,256,3,1024,2,,71.50273521700001,167.30034525899828,21.09280201599904,145.68885944900103,0.1165,1.19680192,609.41419908,0.00164092
1,2000,0.03,0,3,256,3,1024,50,,71.50273521700001,295.45952346299964,148.84215701100038,145.41047395499845,0.8349,1.02020397,69.37976472,0.01441342
1,2000,0.03,0,3,256,3,1024,90,,71.50273521700001,339.5127501999996,193.76478149499962,146.10207727099987,0.9466,1.00654918,52.91127023,0.01889957
1,2000,0.03,0,3,256,3,1024,100,,71.50273521700001,348.22783763900225,204.7321088499957,145.27000733599925,0.9584,1.00527226,50.02022928,0.01999191
