knn,blocks,imbalance,kahip_mode,layers,nodes,epochs,batch_size,T,build_time_with_ivfflat,build_time_without_ivfflat,search_time_with_true,search_time_without_true,true_compute_time,recall,avg_AF,QPS,tApprox
1,500,0.1,0,3,256,3,256,50,232.6776901599951,109.33036107104272,63.60742464696523,46.87722774100257,17.421720259997528,0.9991,1.00005321,227.50421985,0.00439552
1,500,0.1,0,3,256,3,256,100,232.6776901599951,109.33036107104272,79.48610745603219,52.70450683700619,19.014117413957138,1.0,1.0,200.85680538,0.00497867
1,500,0.1,0,3,256,3,256,250,232.6776901599951,109.33036107104272,81.4190363510279,63.553915066004265,17.59823178895749,1.0,1.0,164.75296851,0.00606969
1,2000,0.1,0,3,256,3,256,2,268.05560219596373,165.73419648502022,32.84511742199538,13.55998261104105,18.361816002987325,0.2691,1.12019472,976.64100562,0.00102392
1,2000,0.1,0,3,256,3,256,20,268.05560219596373,165.73419648502022,57.00902208703337,38.25618746102555,18.35851728200214,0.8055,1.01673371,285.48820069,0.00350277
1,2000,0.1,0,3,256,3,256,50,268.05560219596373,165.73419648502022,64.53813780203927,47.53644711402012,18.583406651043333,0.9583,1.003198,226.97423073,0.00440579
1,2000,0.1,0,3,256,3,256,100,268.05560219596373,165.73419648502022,67.38947135198396,49.09043037198717,18.718988157983404,0.995,1.00041007,217.33016028,0.00460129
1,2000,0.1,0,3,256,3,256,250,268.05560219596373,165.73419648502022,73.95380592701258,56.74093787500169,19.411672748043202,1.0,1.0,186.87710403,0.00535111
1,5000,0.1,0,3,256,3,256,2,379.69040737400064,248.3070876590209,29.803012571996078,11.530829340976197,18.281665187969338,0.3169,1.10370773,1172.36662963,0.00085298
1,5000,0.1,0,3,256,3,256,20,379.69040737400064,248.3070876590209,43.99929545697523,26.31285782402847,17.445933341048658,0.794,1.0171045,426.10381986,0.00234685
1,5000,0.1,0,3,256,3,256,50,379.69040737400064,248.3070876590209,55.648382769024465,35.74360363400774,17.636717114015482,0.9379,1.00483433,304.92666173,0.00327948
1,5000,0.1,0,3,256,3,256,100,379.69040737400064,248.3070876590209,59.99086818302749,42.3864950669813,16.776220244006254,0.9882,1.00089589,255.81594537,0.00390906
1,5000,0.1,0,3,256,3,256,250,379.69040737400064,248.3070876590209,63.35994215501705,48.168619531963486,16.882474893005565,0.9996,1.00002334,221.1215375,0.0045224
1,2000,0.03,0,3,256,3,256,2,301.4040629090159,161.76744565501576,32.82989447703585,13.013899956014939,18.74400438601151,0.3562,1.09025624,1005.60082036,0.00099443
1,2000,0.03,0,3,256,3,256,20,301.4040629090159,161.76744565501576,51.99628209701041,36.79643829597626,17.311637122009415,0.8788,1.00935117,296.15758594,0.00337658
1,2000,0.03,0,3,256,3,256,50,301.4040629090159,161.76744565501576,63.182657924015075,42.920300236030016,17.99760254198918,0.9826,1.00118878,250.09979787,0.0039984
1,2000,0.03,0,3,256,3,256,100,301.4040629090159,161.76744565501576,65.39657551201526,43.66882533801254,17.3342296690098,0.9977,1.000101,245.06858071,0.00408049
